id,key,value,type
6166552,zip_left,80513,tiger
6166552,name_base,Lela,tiger
6166552,name_type,Ct,tiger
6166552,separated,no,tiger
6166552,zip_right,80513,tiger
6166943,name,Parrish Road,regular
6166943,highway,track,regular
6166943,cfcc,A41,tiger
6166943,county,"Larimer, CO",tiger
6166943,reviewed,no,tiger
6166943,zip_left,80513,tiger
6166943,name_base,Parrish,tiger
6166943,name_type,Rd,tiger
6166943,zip_right,80513,tiger
6167137,name,Balsom Drive,regular
6167137,highway,residential,regular
6167137,cfcc,A41,tiger
6167137,tlid,188499679,tiger
6167137,county,"Larimer, CO",tiger
6167137,source,tiger_import_dch_v0.6_20070809,tiger
6167137,reviewed,no,tiger
6167137,zip_left,80540,tiger
6167137,name_base,Balsom,tiger
6167137,name_type,Dr,tiger
6167137,separated,no,tiger
6167137,zip_right,80540,tiger
6167569,name,Hopi Court,regular
6167569,highway,residential,regular
6167569,cfcc,A41,tiger
6167569,tlid,188618116,tiger
6167569,county,"Larimer, CO",tiger
6167569,source,tiger_import_dch_v0.6_20070809,tiger
6167569,reviewed,no,tiger
6167569,zip_left,80540,tiger
6167569,name_base,Hopi,tiger
6167569,name_type,Ct,tiger
6167569,separated,no,tiger
6167569,zip_right,80540,tiger
6167880,name,Dakota Ridge Road,regular
6167880,highway,residential,regular
6167880,cfcc,A41,tiger
6167880,county,"Larimer, CO",tiger
6167880,reviewed,no,tiger
6167880,name_base,Dakota Ridge,tiger
6167880,name_type,Rd,tiger
6168437,name,Carys Place,regular
6168437,highway,residential,regular
6168437,cfcc,A41,tiger
6168437,tlid,188573168,tiger
6168437,county,"Larimer, CO",tiger
6168437,source,tiger_import_dch_v0.6_20070809,tiger
6168437,reviewed,no,tiger
6168437,name_base,Carys,tiger
6168437,name_type,Pl,tiger
6168437,separated,no,tiger
6168776,name,Blue Spruce Avenue,regular
6168776,highway,residential,regular
6168776,cfcc,A41,tiger
6168776,county,"Larimer, CO",tiger
6168776,reviewed,no,tiger
